,finess,type
322,010011682,Privé
323,010011740,Privé
324,010011765,Privé
325,010011799,Privé
326,010011823,Public
327,010011849,Privé
328,010011922,Privé
329,010011955,Privé
330,010011971,Privé
331,010011997,Privé
332,010012011,Privé
333,010012037,Privé
334,010012052,Privé
335,010012078,Privé
336,010012102,Privé
337,010012128,Privé
338,010012144,Privé
339,010012177,Privé
340,010012219,Privé
341,010012243,Privé
342,010780054,Public
343,010780062,Public
344,010780096,Public
345,010780104,Public
346,010780112,Public
347,010780120,Public
348,010780138,Public
349,010780153,Public
350,010780179,Public
351,010780948,Public
352,010780997,Public
353,010783009,Privé
354,010784270,Privé
355,010784841,Public
356,010784874,Public
357,010784908,Public
358,010784932,Public
359,010784957,Public
360,010785210,Public
361,010785665,Public
362,010785806,Public
363,010785871,Privé
364,010785897,Privé
365,010785913,Privé
366,010785921,Privé
367,010785939,Privé
368,010785947,Privé
369,010785962,Privé
370,010785970,Privé
371,010786978,Public
372,010786986,Public
373,010787042,Public
374,010787075,Privé
375,010787091,Public
376,010787109,Privé
377,010787125,Privé
378,010787224,Privé
379,010787570,Public
380,010787604,Privé
381,010787737,Privé
382,010787786,Privé
383,010789048,Privé
384,010789121,Privé
385,010789279,Privé
386,010789287,Privé
387,010789600,Privé
388,010789907,Privé
389,010790087,Public
390,010790111,Privé
391,010790368,Privé
392,020000022,Public
393,020000048,Public
394,020000055,Public
395,020000063,Public
396,020000071,Public
397,020000253,Public
398,020000261,Public
399,020000287,Public
400,020000295,Public
401,020000600,Privé
402,020000659,Public
403,020000667,Public
404,020000675,Public
405,020000691,Public
406,020000709,Public
407,020000717,Public
408,020000725,Public
409,020000733,Public
410,020000741,Public
411,020000758,Public
412,020000766,Public
413,020000774,Public
414,020000782,Public
415,020000790,Public
416,020000808,Public
417,020000816,Public
418,020000824,Public
419,020000840,Public
420,020000857,Public
421,020000865,Privé
422,020000873,Privé
423,020000881,Privé
424,020000923,Privé
425,020000931,Privé
426,020000949,Privé
427,020000998,Privé
428,020001020,Privé
429,020001046,Privé
430,020001053,Privé
431,020001079,Public
432,020001095,Privé
433,020001327,Privé
434,020001426,Public
435,020001434,Privé
436,020001442,Privé
437,020001475,Privé
438,020001483,Public
439,020001509,Privé
440,020001533,Privé
441,020001616,Privé
442,020001632,Privé
443,020001673,Privé
444,020001715,Privé
445,020001749,Privé
446,020001798,Privé
447,020001889,Privé
448,020001947,Privé
449,020001962,Privé
450,020001988,Privé
451,020002002,Public
452,020002036,Privé
453,020002085,Public
454,020002291,Privé
455,020002325,Privé
456,020002366,Privé
457,020002382,Privé
458,020002416,Privé
459,020002432,Privé
460,020002465,Privé
461,020002523,Privé
462,020002549,Privé
463,020002556,Privé
464,020002606,Privé
465,020002622,Privé
466,020002648,Privé
467,020002655,Privé
468,020002671,Privé
469,020002705,Privé
470,020002721,Privé
471,020002754,Privé
472,020002770,Privé
473,020002804,Privé
474,020002820,Privé
475,020002838,Privé
476,020002853,Privé
477,020002879,Privé
478,020002887,Privé
479,020002903,Privé
480,020002929,Privé
481,020002937,Privé
482,020002952,Privé
483,020002986,Privé
484,020003000,Privé
485,020003067,Privé
486,020003083,Privé
487,020003117,Privé
488,020003133,Privé
489,020003158,Privé
490,020003166,Privé
491,020003182,Privé
492,020003216,Privé
493,020003232,Privé
494,020003257,Privé
495,020003273,Privé
496,020003323,Privé
497,020003356,Privé
498,020003372,Privé
499,020003406,Privé
500,020003422,Privé
501,020003455,Privé
502,020003471,Privé
503,020003505,Privé
504,020003521,Privé
505,020003554,Privé
506,020003570,Privé
507,020003604,Privé
508,020003620,Public
509,020003653,Privé
510,020004404,Public
511,020004495,Public
512,020004511,Privé
513,020004867,Privé
514,020005021,Privé
515,020005179,Privé
516,020005203,Privé
517,020005211,Privé
518,020005229,Privé
519,020005237,Public
520,020005245,Privé
521,020005252,Privé
522,020005260,Privé
523,020005278,Public
524,020005286,Public
525,020005294,Privé
526,020005302,Privé
527,020005310,Privé
528,020005401,Privé
529,020005427,Public
530,020005443,Privé
531,020005484,Privé
532,020005591,Privé
533,020005658,Privé
534,020005666,Public
535,020005716,Public
536,020005724,Privé
537,020005740,Privé
538,020006136,Public
539,020006185,Privé
540,020006227,Privé
541,020006243,Public
542,020006318,Privé
543,020006466,Privé
544,020006482,Privé
545,020006540,Privé
546,020006565,Privé
547,020006581,Privé
548,020006615,Privé
549,020006706,Privé
550,020006722,Privé
551,020006755,Privé
552,020006771,Privé
553,020006813,Privé
554,020006870,Privé
555,020006912,Privé
556,020007027,Privé
557,020007035,Privé
558,020007076,Privé
559,020007092,Privé
560,020007191,Privé
561,020007225,Privé
562,020007241,Privé
563,020007365,Public
564,020007399,Privé
565,020007423,Privé
566,020007449,Privé
567,020007480,Privé
568,020007506,Privé
569,020007514,Privé
570,020007530,Public
571,020007548,Public
572,020007571,Public
573,020007597,Public
574,020007605,Public
575,020007613,Public
576,020007654,Privé
577,020007688,Privé
578,020007704,Privé
579,020007720,Privé
580,020007779,Privé
581,020007852,Privé
582,020007878,Privé
583,020007886,Privé
584,020007902,Privé
585,020007936,Privé
586,020007951,Privé
587,020007985,Privé
588,020008017,Privé
589,020008074,Public
590,020008124,Public
591,020008181,Privé
592,020008207,Public
593,020008306,Public
594,020008421,Privé
595,020008504,Privé
596,020008553,Privé
597,020008736,Privé
598,020008744,Privé
599,020009031,Privé
600,020009189,Privé
601,020009270,Privé
602,020009296,Privé
603,020009502,Privé
604,020009692,Privé
605,020009726,Privé
606,020009759,Privé
607,020009767,Privé
608,020009783,Privé
609,020009833,Privé
610,020009866,Privé
611,020009973,Privé
612,020010245,Privé
613,020010328,Privé
614,020010443,Privé
615,020010633,Privé
616,020010666,Privé
617,020010682,Privé
618,020010708,Privé
619,020010716,Privé
620,020010732,Privé
621,020010773,Privé
622,020010807,Privé
623,020010823,Privé
624,020010856,Privé
625,020010872,Privé
626,020010906,Privé
627,020010922,Privé
628,020010955,Privé
629,020010971,Privé
630,020010989,Privé
631,020011003,Privé
632,020011037,Privé
633,020011052,Privé
634,020011078,Public
635,020011086,Privé
636,020011102,Privé
637,020011136,Privé
638,020011151,Privé
639,020011185,Privé
640,020011201,Privé
641,020011235,Privé
642,020011250,Privé
643,020011284,Privé
644,020011300,Privé
645,020011334,Privé
646,020011367,Privé
647,020011383,Privé
648,020011417,Privé
649,020011433,Privé
650,020011458,Privé
651,020011466,Privé
652,020011482,Privé
653,020011516,Privé
654,020011532,Privé
655,020011557,Privé
656,020011573,Privé
657,020011607,Privé
658,020011623,Privé
659,020011656,Privé
660,020011672,Privé
661,020011706,Privé
662,020011722,Privé
663,020011755,Privé
664,020011805,Privé
665,020011821,Privé
666,020011854,Privé
667,020011870,Privé
668,020011904,Privé
669,020011920,Privé
670,020011953,Privé
671,020011987,Privé
672,020012050,Privé
673,020012084,Privé
674,020012100,Privé
675,020012118,Privé
676,020012167,Privé
677,020012183,Privé
678,020012217,Privé
679,020012282,Privé
680,020012332,Privé
681,020012464,Privé
682,020012563,Privé
683,020012571,Privé
684,020012746,Privé
685,020013132,Privé
686,020013199,Privé
687,020013462,Privé
688,020013538,Privé
689,020013587,Privé
690,020013702,Privé
691,020013876,Privé
692,020014031,Privé
693,020014106,Privé
694,020014197,Privé
695,020014601,Public
696,020014742,Privé
697,020014841,Privé
698,020015004,Privé
699,020015087,Privé
700,020015145,Privé
701,020015277,Privé
702,020015400,Public
703,020015509,Privé
704,020015525,Privé
705,020015665,Privé
706,020015681,Privé
707,020015707,Privé
708,020015723,Public
709,020015798,Privé
710,020015814,Privé
711,020015863,Privé
712,020016101,Privé
713,020016150,Privé
714,020016275,Privé
715,020016317,Public
716,020016408,Public
717,020016432,Privé
718,020016473,Privé
719,020016499,Privé
720,020016515,Privé
721,020016531,Privé
722,020016580,Privé
723,020016606,Privé
724,020016648,Public
725,020016705,Privé
726,020016721,Privé
727,020016754,Privé
728,020016770,Public
729,020016788,Privé
730,020016804,Privé
731,020016820,Public
